		Structural Health Monitor
	 TIMESTAMP 	 ACCx 	ACCy 	ACCz 	  BAT 	 HUM 	 TEMP 	 MAS 	 RLE 
200/1/6 17:28:11	-4.39	-4.55	2.63	215.00	81.00	30.00	5284	5320
200/1/6 17:28:16	-4.43	-4.59	2.63	214.00	81.00	30.00	5292	5348
200/1/6 17:28:20	-4.35	-4.47	2.55	214.00	81.00	30.00	5284	5328
200/1/6 17:28:25	-4.39	-4.55	2.59	214.00	81.00	30.00	7232	7284
200/1/6 17:28:30	-4.39	-4.55	2.59	214.00	81.00	30.00	5284	5344
200/1/6 17:28:34	-4.35	-4.47	2.55	214.00	81.00	30.00	5268	5344
200/1/6 17:28:39	-4.28	-4.43	2.55	214.00	81.00	30.00	5276	5336
200/1/6 17:28:43	-4.39	-4.39	2.55	214.00	81.00	30.00	5280	5332
200/1/6 17:28:48	-4.35	-4.55	2.51	214.00	81.00	30.00	7228	5336
200/1/6 17:28:52	-4.43	-4.51	2.55	214.00	81.00	30.00	5272	5348
200/1/6 17:28:57	-4.43	-4.51	2.59	214.00	81.00	30.00	5280	5336
200/1/6 17:29:2		-4.39	-4.51	2.55	214.00	81.00	30.00	5292	5324
200/1/6 17:29:6		-4.39	-4.59	2.55	213.00	81.00	30.00	5284	5336
200/1/6 17:29:11	-4.35	-4.59	2.55	213.00	81.00	30.00	7220	5348
200/1/6 17:29:15	-4.35	-4.55	2.55	214.00	81.00	30.00	5260	5352
200/1/6 17:29:20	-4.43	-4.51	2.59	214.00	81.00	30.00	5264	5348
200/1/6 17:29:24	-4.35	-4.47	2.59	214.00	81.00	30.00	5288	5344
200/1/6 17:29:29	-4.35	-4.55	2.55	213.00	81.00	30.00	5284	5324
200/1/6 17:29:34	-4.43	-4.51	2.59	212.00	81.00	30.00	5276	5344
200/1/6 17:29:38	-4.43	-4.51	2.63	212.00	81.00	30.00	7220	5348
200/1/6 17:29:43	-4.31	-4.55	2.51	213.00	81.00	30.00	5280	5336
200/1/6 17:29:47	-4.35	-4.51	2.59	211.00	81.00	30.00	5276	5336
200/1/6 17:29:52	-4.35	-4.51	2.51	212.00	80.00	30.00	5276	5332
200/1/6 17:29:56	-4.43	-4.43	2.55	213.00	81.00	30.00	5260	5344
200/1/6 17:30:1		-4.43	-4.51	2.55	213.00	81.00	30.00	7216	5340
200/1/6 17:30:5		-4.39	-4.51	2.55	212.00	81.00	30.00	5280	5336
200/1/6 17:30:10	-4.39	-4.59	2.63	212.00	81.00	30.00	5288	5336
200/1/6 17:30:15	-4.31	-4.51	2.47	212.00	81.00	30.00	5284	5344
200/1/6 17:30:19	-4.35	-4.55	2.51	213.00	81.00	30.00	5292	5328
200/1/6 17:30:24	-4.31	-4.51	2.59	212.00	81.00	30.00	5288	5328
200/1/6 17:30:28	-4.35	-4.55	2.59	212.00	81.00	30.00	5284	5328
200/1/6 17:30:33	-2.35	-6.51	-2.47	212.00	81.00	30.00	5264	5344
200/1/6 17:30:37	-4.39	-4.43	2.55	212.00	81.00	30.00	5284	5340
200/1/6 17:30:42	-4.35	-4.55	2.51	212.00	81.00	30.00	5272	5344
200/1/6 17:30:47	-4.43	-4.47	2.55	211.00	81.00	30.00	5264	5348
200/1/6 17:30:51	-4.39	-4.51	2.63	212.00	81.00	30.00	7232	5328
200/1/6 17:30:56	-4.31	-4.43	2.47	212.00	81.00	30.00	5264	5340
200/1/6 17:31:0		-4.39	-4.51	2.51	211.00	81.00	30.00	5264	5352
200/1/6 17:31:5		-4.35	-4.47	2.51	212.00	81.00	30.00	5264	5336
200/1/6 17:31:9		-4.39	-4.47	2.47	211.00	81.00	30.00	5284	5352
200/1/6 17:31:14	-4.39	-4.55	2.59	211.00	81.00	30.00	7232	5332
200/1/6 17:31:19	-4.31	-4.47	2.47	211.00	81.00	30.00	5272	5344
200/1/6 17:31:23	-4.35	-4.51	2.67	211.00	81.00	30.00	5280	5336
200/1/6 17:31:28	-4.31	-4.43	2.51	211.00	81.00	30.00	5276	5344
200/1/6 17:31:32	-4.35	-4.47	2.55	211.00	81.00	30.00	5292	5344
200/1/6 17:31:37	-4.35	-4.43	2.55	211.00	81.00	30.00	5276	5348
200/1/6 17:31:41	-4.35	-4.51	2.55	212.00	81.00	30.00	5268	5340
200/1/6 17:31:46	-4.35	-4.55	2.63	211.00	81.00	30.00	5292	5340
